GEOID,NAME,pop_below_pov_lineE,pop_below_pov_lineM,popE,popM
"56001","Albany County, Wyoming",6381,740,32985,0
"56003","Big Horn County, Wyoming",905,228,11372,0
"56005","Campbell County, Wyoming",2398,559,40290,0
"56007","Carbon County, Wyoming",1375,360,15347,0
"56009","Converse County, Wyoming",871,258,12959,0
"56011","Crook County, Wyoming",631,203,6338,0
"56013","Fremont County, Wyoming",5171,649,37432,0
"56015","Goshen County, Wyoming",1446,409,12137,0
"56017","Hot Springs County, Wyoming",387,135,4523,0
"56019","Johnson County, Wyoming",671,221,8084,0
"56021","Laramie County, Wyoming",8040,969,86892,0
"56023","Lincoln County, Wyoming",1111,331,16185,0
"56025","Natrona County, Wyoming",6652,794,71817,0
"56027","Niobrara County, Wyoming",222,97,2306,0
"56029","Park County, Wyoming",2026,510,27193,0
"56031","Platte County, Wyoming",909,267,8344,0
"56033","Sheridan County, Wyoming",2319,531,28062,0
"56035","Sublette County, Wyoming",259,124,7801,0
"56037","Sweetwater County, Wyoming",2814,609,39140,0
"56039","Teton County, Wyoming",1543,654,20067,0
"56041","Uinta County, Wyoming",2072,621,20119,0
"56043","Washakie County, Wyoming",368,137,7791,0
"56045","Weston County, Wyoming",480,153,6765,0
